ancho de pulso (ms), velocidad (m/s)
1.580000,0.288327
1.580000,1.815958
1.580000,2.108255
1.580000,2.253444
1.580000,2.376563
1.580000,2.476481
1.580000,2.553104
1.580000,2.638678
1.580000,2.703050
1.580000,2.746769
1.580000,2.789231
1.580000,2.836041
1.580000,2.858284
1.580000,2.877971
1.580000,2.922128
1.580000,2.957427
1.580000,3.000967
1.580000,3.019150
1.580000,3.051372
1.580000,3.071775
1.580000,3.094625
1.580000,3.094330
1.580000,3.121646
1.580000,3.131984
1.580000,3.159007
1.580000,3.160525
1.580000,3.175024
1.580000,3.182457
1.580000,3.189654
1.580000,3.203301
1.580000,3.196504
1.580000,3.198950
1.580000,3.199541
1.580000,3.192705
1.580000,3.190479
1.580000,3.187718
1.580000,3.180976
1.580000,3.171935
1.580000,3.188864
1.580000,3.186544
1.580000,3.188531
1.580000,3.186665
1.580000,3.182932
1.580000,3.188830
1.580000,3.192446
1.580000,3.199526
1.580000,3.198796
1.580000,3.199459
1.580000,3.200676
1.580000,3.184653
1.580000,3.196060
1.580000,3.200335
1.580000,3.205322
1.580000,3.185199
1.580000,3.191664
1.580000,3.190171
1.580000,3.190134
1.580000,3.198045
1.580000,3.200933
1.580000,3.192227
1.580000,3.199331
1.580000,3.207564
1.580000,3.228149
1.580000,3.239839
1.580000,3.241123
1.580000,3.236148
1.580000,3.218943
1.580000,3.227921
1.580000,3.225549
1.580000,3.224770
1.580000,3.212651
1.580000,3.210290
1.580000,3.214668
1.580000,3.226562
1.580000,3.233708
1.580000,3.241317
1.580000,3.240491
1.580000,3.238564
1.580000,3.243521
1.580000,3.227362
1.580000,3.222177
1.580000,3.225084
1.580000,3.217830
1.580000,3.215808
1.580000,3.209981
