ancho de pulso (ms), velocidad (m/s)
1.580000,0.258549
1.580000,1.911088
1.580000,2.203499
1.580000,2.351341
1.580000,2.452182
1.580000,2.541164
1.580000,2.626655
1.580000,2.697839
1.580000,2.756008
1.580000,2.820776
1.580000,2.843268
1.580000,2.885230
1.580000,2.901713
1.580000,2.935412
1.580000,2.963563
1.580000,2.981996
1.580000,2.999176
1.580000,3.012903
1.580000,3.044555
1.580000,3.060922
1.580000,3.074955
1.580000,3.086294
1.580000,3.099341
1.580000,3.102957
1.580000,3.094529
1.580000,3.100463
1.580000,3.098365
1.580000,3.103041
1.580000,3.108091
1.580000,3.111831
1.580000,3.120201
1.580000,3.103716
1.580000,3.108786
1.580000,3.100574
1.580000,3.109768
1.580000,3.111400
1.580000,3.110261
1.580000,3.121771
1.580000,3.117603
1.580000,3.114957
1.580000,3.097060
1.580000,3.091111
1.580000,3.087350
1.580000,3.088972
1.580000,3.102786
1.580000,3.110601
1.580000,3.114116
1.580000,3.109794
1.580000,3.109693
1.580000,3.098296
1.580000,3.111294
1.580000,3.110830
1.580000,3.109751
1.580000,3.124525
1.580000,3.115920
1.580000,3.130956
1.580000,3.130471
1.580000,3.133152
1.580000,3.139460
1.580000,3.164503
1.580000,3.167049
1.580000,3.146488
1.580000,3.137654
1.580000,3.137179
1.580000,3.137113
1.580000,3.129086
1.580000,3.120209
1.580000,3.123654
1.580000,3.118682
1.580000,3.111484
1.580000,3.092418
1.580000,3.089567
1.580000,3.090017
1.580000,3.094658
1.580000,3.091664
1.580000,3.068738
1.580000,3.070876
1.580000,3.076487
1.580000,3.076183
1.580000,3.069684
1.580000,3.056754
1.580000,3.067979
